,disease,symptom_text,specialist,combined_text
0,fungal infection,"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",Dermatologist,"fungal infection: itching, skin_rash, nodal_skin_eruptions, dischromic _patches"
1,fungal infection,"skin_rash, nodal_skin_eruptions, dischromic _patches",Dermatologist,"fungal infection: skin_rash, nodal_skin_eruptions, dischromic _patches"
2,fungal infection,"itching, nodal_skin_eruptions, dischromic _patches",Dermatologist,"fungal infection: itching, nodal_skin_eruptions, dischromic _patches"
3,fungal infection,"itching, skin_rash, dischromic _patches",Dermatologist,"fungal infection: itching, skin_rash, dischromic _patches"
4,fungal infection,"itching, skin_rash, nodal_skin_eruptions",Dermatologist,"fungal infection: itching, skin_rash, nodal_skin_eruptions"
5,allergy,"continuous_sneezing, shivering, chills, watering_from_eyes",ENT Specialist,"allergy: continuous_sneezing, shivering, chills, watering_from_eyes"
6,allergy,"shivering, chills, watering_from_eyes",ENT Specialist,"allergy: shivering, chills, watering_from_eyes"
7,allergy,"continuous_sneezing, chills, watering_from_eyes",ENT Specialist,"allergy: continuous_sneezing, chills, watering_from_eyes"
8,allergy,"continuous_sneezing, shivering, watering_from_eyes",ENT Specialist,"allergy: continuous_sneezing, shivering, watering_from_eyes"
9,allergy,"continuous_sneezing, shivering, chills",ENT Specialist,"allergy: continuous_sneezing, shivering, chills"
10,gerd,"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain",Gastroenterologist,"gerd: stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain"
11,gerd,"stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain",Gastroenterologist,"gerd: stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain"
12,gerd,"stomach_pain, acidity, vomiting, cough, chest_pain",Gastroenterologist,"gerd: stomach_pain, acidity, vomiting, cough, chest_pain"
13,gerd,"stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain",Gastroenterologist,"gerd: stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain"
14,gerd,"stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain",Gastroenterologist,"gerd: stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain"
15,gerd,"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough",Gastroenterologist,"gerd: stomach_pain, acidity, ulcers_on_tongue, vomiting, cough"
16,gerd,"acidity, ulcers_on_tongue, vomiting, cough, chest_pain",Gastroenterologist,"gerd: acidity, ulcers_on_tongue, vomiting, cough, chest_pain"
